version,date,mode
5.0.4,2018/02/16,current
4.4.13,2018/02/16,old
5.0.3,2016/05/16
5.0.2,2015/12/22
5.0.1,2015/09/10
5.0,2015/07/07
4.4.12,2016/05/16
4.4.11,2015/12/22
4.4.10,2015/09/10
4.4.9,2015/04/15
4.4.8,2015/01/27
4.4.7,2015/01/21
4.4.6,2014/10/06
4.4.5,2014/07/24
4.4.4,2014/04/18
4.4.3,2014/04/17
4.4.2,2014/01/27
4.4.1,2013/10/16
4.4,2013/05/22
4.2.16,2015/12/22
4.2.15,2015/09/10
4.2.14,2015/04/15
4.2.13,2015/01/27
4.2.12,2015/01/21
4.2.11,2014/10/06
4.2.10,2014/07/24
4.2.9,2014/04/18
4.2.8,2014/04/17
4.2.7,2013/10/16
4.2.6,2013/05/22
4.2.5,2013/02/19
4.2.4,2012/11/13
4.2.3,2012/08/30
4.2.2,2012/07/26
4.2.1,2012/04/18
4.2,2012/02/22
4.0.18,2015/04/15
4.0.17,2015/01/27
4.0.16,2015/01/21
4.0.15,2014/10/06
4.0.14,2014/07/24
4.0.13,2014/04/18
4.0.12,2014/04/17
4.0.11,2013/10/16
4.0.10,2013/02/19
4.0.9,2012/11/13
4.0.8,2012/08/30
4.0.7,2012/07/26
4.0.6,2012/04/18
4.0.5,2012/02/22
4.0.4,2012/01/31
4.0.3,2011/12/28
4.0.2,2011/08/04
4.0.1,2011/04/27
4.0,2011/02/15
3.6.13,2013/02/19
3.6.12,2012/11/13
3.6.11,2012/08/30
3.6.10,2012/07/26
3.6.9,2012/04/18
3.6.8,2012/01/31
3.6.7,2011/12/28
3.6.6,2011/08/04
3.6.5,2011/04/27
3.6.4,2011/01/24
3.6.3,2010/11/02
3.6.2,2010/08/05
3.6.1,2010/06/24
3.6,2010/04/13
3.4.14,2012/01/31
3.4.13,2011/12/28
3.4.12,2011/08/04
3.4.11,2011/04/27
3.4.10,2011/01/24
3.4.9,2010/11/02
3.4.8,2010/08/05
3.4.7,2010/06/24
3.4.6,2010/03/08
3.4.5,2010/01/31
3.4.4,2009/11/18
3.4.3,2009/11/05
3.4.2,2009/09/11
3.4.1,2009/08/01
3.4,2009/07/28
3.2.10,2011/01/24
3.2.9,2010/11/02
3.2.8,2010/08/05
3.2.7,2010/06/24
3.2.6,2010/01/31
3.2.5,2009/09/11
3.2.4,2009/07/08
3.2.3,2009/03/30
3.2.2,2009/02/03
3.2.1,2009/02/02
3.2,2008/11/29
3.0.11,2010/01/31
3.0.10,2009/11/05
3.0.9,2009/09/11
3.0.8,2009/02/03
3.0.7,2009/02/02
3.0.6,2008/11/06
3.0.5,2008/08/12
3.0.4,2008/05/04
3.0.3,2008/01/08
3.0.2,2007/09/18
3.0.1,2007/08/23
3.0,2007/05/09
2.22.7,2009/02/02
2.22.6,2008/11/06
2.22.5,2008/08/12
2.22.4,2008/05/04
2.22.3,2007/08/23
2.22.2,2007/02/02
2.22.1,2006/10/15
2.22,2006/4/22
2.20.7,2008/11/06
2.20.6,2008/05/04
2.20.5,2007/08/23
2.20.4,2007/02/02
2.20.3,2006/10/15
2.20.2,2006/4/22
2.20.1,2006/2/20
2.20,2005/9/30
2.18.6,2006/10/15
2.18.5,2006/2/20
2.18.4,2005/9/30
2.18.3,2005/7/9
2.18.2,2005/7/7
2.18.1,2005/5/11
2.18,2005/1/15
2.16.11,2006/2/20
2.16.10,2005/5/18
2.16.9,2005/5/11
2.16.8,2005/1/15
2.16.7,2004/10/24
2.16.6,2004/7/10
2.16.5,2004/3/3
2.16.4,2003/11/3
2.16.3,2003/4/25
2.16.2,2003/1/2
2.16.1,2002/9/30
2.16,2002/7/28
2.14.5,2003/1/2
2.14.4,2002/9/30
2.14.3,2002/7/28
2.14.2,2002/6/7
2.14.1,2002/1/5
2.14,2001/8/29
2.12,2001/4/27
2.10,2000/5/9
2.8,1999/11/19
2.6,1999/8/30
2.4,1999/4/30
2.2,1999/2/10
2.0,1998/9/19
